№;rus_name;fin_name;type;length;width;height;price;product_link ;article_num;Quantity;total_price;room
1;ЛАГКАПТЕН / АДИЛЬС;LAGKAPTEN / ADILS;стол;120;60;73;2299;https://www.ikea.com/ru/ru/p/lagkapten-lagkapten-adils-adils-pismennyy-stol-pod-belenyy-dub-chernyy-s19416886/ ;194.168.86;1;2299;кабинет
2;ОДГЕР;ODGER;рабочий стул;68;68;90;8999;https://www.ikea.com/ru/ru/p/odger-odger-rabochiy-stul-belyy-bezhevyy-50395264/ ;503.952.64;1;8999;кабинет
3;ГЕРЛЕВ;GERLEV;ковёр;125;80;0,5;1199;https://www.ikea.com/ru/ru/p/gerlev-gerlev-kover-korotkiy-vors-s-risunkom-seryy-10489783/ ;104.897.83;1;1199;кабинет
4;ХЕМНЭС;HEMNES;стеллаж;90;37;197;10999;https://www.ikea.com/ru/ru/p/hemnes-hemnes-stellazh-belaya-morilka-40373427/;403.734.27;1;10999;кабинет
5;ТЕРЦИАЛ;TERTIAL ;лампа рабочая;17;17;0;999;https://www.ikea.com/ru/ru/p/tertial-tercial-lampa-rabochaya-belyy-10355726/;103.557.26;1;999;кабинет
6;НЭВЛИНГЕ;NÄVLINGE;лампа с зажимом;0;0;34;1299;https://www.ikea.com/ru/ru/p/naevlinge-nevlinge-lampa-s-zazhimom-svetodiodnaya-chernyy-10449886/ ;104.498.86;1;1299;кабинет
7;ХЕМНЭС;HEMNES;комод с 3 ящиками;108;50;96;12999;https://www.ikea.com/ru/ru/p/hemnes-hemnes-komod-s-3-yashchikami-belaya-morilka-40426906/ ;404.269.06;1;12999;кабинет
8;ЛАКК;LACK;журнальный столик;90;55;45;1499;https://www.ikea.com/ru/ru/p/lack-lakk-zhurnalnyy-stol-belyy-50449907/ ;504.499.07;1;1499;кабинет
9;НОРДМИРА;NORDMYRA;стул;46;51;81;3299;https://www.ikea.com/ru/ru/p/nordmyra-nordmira-stul-belyy-bereza-80359354/ ;803.593.54;3;9897;кабинет
10;НЕЙДЕН;NEIDEN;каркас кровати;205;164;65;2700;https://www.ikea.com/ru/ru/p/neiden-neyden-karkas-krovati-sosna-70395244/ ;703.952.44;1;2700;спальня
11;ХАВЁЙСУНД;HAVÖYSUND;матрас с пружинами карманного типа;200;160;19,5;14999;https://www.ikea.com/ru/ru/p/havoeysund-havyoysund-matras-s-pruzhinami-karmannogo-tipa-zhestkiy-temno-bezhevyy-30508568/ ;305.085.68;1;14999;спальня
12;МАЛЬМ;MALM;комод с 2 ящиками;48;40;55;2499;https://www.ikea.com/ru/ru/p/malm-malm-komod-s-2-yashchikami-belyy-00368531/ ;003.685.31;2;4998;спальня
13;ФИРЕСДАЛЬ;FYRESDAL;кушетка с 2 матрасами;207;88;94;29997;https://www.ikea.com/ru/ru/p/fyresdal-firesdal-kushetka-s-2-matrasami-chernyy-husvika-zhestkiy-s59279298/ ;592.792.98;1;29997;спальня
14;КНАППЕР;KNAPPER;зеркало напольное;53;48;160;3699;https://www.ikea.com/ru/ru/p/knapper-knapper-zerkalo-napolnoe-belyy-20396241/ ;203.962.41;1;3699;спальня
15;ПАКС;PAX;гардероб;58;175;236,4;17950;https://www.ikea.com/ru/ru/p/pax-paks-garderob-belyy-s29128569/ ;291.285.69;1;17950;спальня
16;ГАЛИОН;GALJON;подвесной светильник;25;25;117;3999;https://www.ikea.com/ru/ru/p/galjon-galion-podvesnoy-svetilnik-chernyy-prozrachnyy-steklo-00450936/ ;004.509.36;4;15996;спальня
17;БУМЕРАНГ;BUMERANG;плечики;0,14;43;0;429;https://www.ikea.com/ru/ru/p/bumerang-bumerang-plechiki-belyy-30375455/ ;303.754.55;8;3432;спальня
18;ЛАНДСКРУНА;LANDSKRONA;табурет для ног;77;65;44;19999;https://www.ikea.com/ru/ru/p/landskrona-landskruna-taburet-dlya-nog-grann-bumstad-belyy-metall-s69248895/ ;692.488.95;1;19999;спальня